sequencerun_pk,run_sra_accession,run_ncbi_trace_link,sample_name,run_ncbi_identifier,run_avg_spot_length,run_bases,run_bytes,run_megabases,run_megabytes,run_num_replicons,run_releasedate,run_releasedate_curated
MDDBSRR000414,SRR1502386,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502386,G2741,pooled forest soil sample-G2741,468,2972942,6586889,2,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000415,SRR1502374,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502374,G2728,pooled forest soil sample-G2728,468,2287741,5056658,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000416,SRR1502375,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502375,G2729,pooled forest soil sample-G2729,473,1884244,4156613,1,3,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000417,SRR1502376,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502376,G2730,pooled forest soil sample-G2730,465,2226644,4918827,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000418,SRR1502371,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502371,G2678,pooled forest soil sample-G2678,461,2524235,5676363,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000419,SRR1502372,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502372,G2679,pooled forest soil sample-G2679,479,2192167,4833881,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000420,SRR1502370,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502370,G2677,pooled forest soil sample-G2677,461,1823536,4081539,1,3,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000421,SRR1502373,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502373,G2700,pooled forest soil sample-G2700,458,1844668,4117176,1,3,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000422,SRR1502382,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502382,G2737,pooled forest soil sample-G2737,441,2186687,4973064,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000423,SRR1502383,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502383,G2738,pooled forest soil sample-G2738,445,2643265,6007288,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000424,SRR1502384,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502384,G2739,pooled forest soil sample-G2739,450,2945661,6619151,2,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000425,SRR1502385,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502385,G2740,pooled forest soil sample-G2740,461,3344034,7407305,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000426,SRR1502361,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502361,G2662,pooled forest soil sample-G2662,449,3348012,7581125,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000427,SRR1502359,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502359,G2660,pooled forest soil sample-G2660,464,3533366,7858649,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000428,SRR1502358,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502358,G2659,pooled forest soil sample-G2659,458,2298050,5125054,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000429,SRR1502354,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502354,G2653,pooled forest soil sample-G2653,462,3145150,7012831,3,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000430,SRR1502355,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502355,G2655,pooled forest soil sample-G2655,456,1880988,4221921,1,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000431,SRR1502356,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502356,G2657,pooled forest soil sample-G2657,474,3069208,6771747,3,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000432,SRR1502357,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502357,G2658,pooled forest soil sample-G2658,472,2631668,5784884,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000433,SRR1502579,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502579,S139,pooled forest soil sample-S139,475,2879013,6196356,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000434,SRR1502580,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502580,S140,pooled forest soil sample-S140,475,3074143,6667987,3,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000435,SRR1502489,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502489,S045,pooled forest soil sample-S045,464,1453410,3272992,1,3,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000436,SRR1502490,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502490,S046,pooled forest soil sample-S046,460,2058479,4626100,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000437,SRR1502491,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502491,S047,pooled forest soil sample-S047,456,2487377,5599381,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000438,SRR1502492,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502492,S048,pooled forest soil sample-S048,457,1552743,3512043,1,3,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000439,SRR1502493,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502493,S049,pooled forest soil sample-S049,484,3274468,7240895,3,6,4,2014-07-09T00:00:00Z,2014-07-09
